county_name,fips,pop2020,pop_density_perSqMile,perc_pop_65plus,median_HH_income,perc_college_grad
"Cameron County, TX",48061,423584,475.4,14.9116,43678,16.4497
"Berks County, PA",42011,421652,492.3,18.5535,74163,23.9201
"Clackamas County, OR",41005,420373,224.8,17.7026,86694,32.9243
"Hillsborough County, NH",33011,417553,476.6,15.5135,95400,36.5933
"Richland County, SC",45079,416579,550.3,12.6797,68150,33.9708
"Loudoun County, VA",51107,416080,807,8.8884,158400,57.2307
"Mobile County, AL",1097,413330,336.2,16.7201,59703,21.721
"Charleston County, SC",45019,413253,451.1,16.9131,69950,37.1286
"Manatee County, FL",12081,407576,548.6,28.3432,65979,24.7568
"Genesee County, MI",26049,405946,637.3,17.8844,61310,19.9692
"Waukesha County, WI",55133,405395,737.7,18.3897,102690,40.0062
"St. Charles County, MO",29183,403742,720.4,14.8535,96525,36.8846
"Placer County, CA",6061,401405,285.3,19.1856,97369,35.9501
"Pulaski County, AR",5119,392189,516.2,14.9601,65007,30.8876
"Orleans Parish, LA",22071,390214,2303.2,14.9244,52000,30.201
"Collier County, FL",12021,387966,194.1,31.3427,76581,30.2304
"Orange County, NY",36071,385834,475.3,14.1325,93945,28.3307
"Lane County, OR",41039,384378,84.4,19.0255,59050,27.1911
"Butler County, OH",39017,384046,822.3,14.9503,77328,29.7054
"Forsyth County, NC",37067,383727,940.2,16.9024,64349,31.1179
"Allen County, IN",18003,380342,578.6,15.4379,68536,25.63
"Osceola County, FL",12097,378454,285.1,14.8499,59687,17.2945
"Brazoria County, TX",48039,376908,277.6,12.9331,88982,26.9334
"Madison County, AL",1089,374983,467.8,15.841,79244,38.0645
"Lake County, FL",12069,371792,396.2,29.0985,63743,20.6962
"Stark County, OH",39151,371267,645.4,20.8144,63711,20.7653
"Lehigh County, PA",42077,369869,1071.6,18.2411,74518,27.7214
"Marion County, FL",12083,369231,233,31.0299,54757,17.1251
"Hamilton County, TN",47065,369150,680.5,19.053,65236,28.7728
"Mercer County, NJ",34021,368145,1639.4,16.2493,98670,38.9615
"Washtenaw County, MI",26161,367335,520.3,13.2021,81212,50.2375
"Bell County, TX",48027,364726,347,11.3713,67149,22.2264
"Nueces County, TX",48355,362464,432.3,16.1779,62553,18.6147
"Larimer County, CO",8069,359303,138.4,15.6431,79368,43.7667
"Horry County, SC",45051,358413,316.1,22.0854,59038,22.247
"Anoka County, MN",27003,358093,846.5,12.716,93189,28.6133
"Davis County, UT",49011,356803,1194.2,10.8603,92097,33.678
"Chesterfield County, VA",51041,354707,838,13.4587,97644,37.2422
"Douglas County, CO",8035,353316,420.5,9.8841,132727,53.5189
"Marion County, OR",41047,349860,295.9,15.989,61296,21.0124
"Westmoreland County, PA",42129,349632,340.3,24.0479,69103,27.6828
"Galveston County, TX",48167,343773,908.6,15.0279,82635,28.798
"Hamilton County, IN",18057,340425,863.4,11.6836,112834,52.8652
"Cumberland County, NC",37051,335139,513.8,12.5625,62384,24.403
"Rutherford County, TN",47149,335013,540.9,11.0611,74791,29.0713
"St. Lucie County, FL",12111,331983,580.5,24.3985,61719,19.524
"Henrico County, VA",51087,331469,1418.4,15.469,84857,40.2065
"Somerset County, NJ",34035,329964,1093.3,15.6572,132171,50.7374
"Boulder County, CO",8013,327381,450.8,13.4027,90136,56.5562
"Howard County, MD",24027,327213,1305,13.3806,141996,57.8096
"Weld County, CO",8123,327077,82,13.1146,76291,24.5304
"Rockland County, NY",36087,326189,1879.5,17.1603,112461,36.9277
"Fayette County, KY",21067,323890,1141.9,13.7349,67578,39.1231
"Durham County, NC",37063,322388,1127.3,13.1348,69920,41.8928
"Spartanburg County, SC",45083,322177,398.8,17.4212,60730,21.7916
"Lancaster County, NE",31109,320285,382.4,14.0188,71592,35.7373
"Escambia County, FL",12033,319784,487.1,18.586,60827,24.2711
"Luzerne County, PA",42079,317760,356.9,22.2523,60424,22.8567
"Lubbock County, TX",48303,311645,348,14.5515,58822,26.9464
"Rockingham County, NH",33015,310982,447.6,16.8106,106088,38.9857
"Lorain County, OH",39093,310712,632.7,18.6752,70713,22.718
"McHenry County, IL",17111,308253,511.1,13.7001,102803,32.7538
"Northampton County, PA",42095,306422,828.9,19.8393,81323,26.0826
"Albany County, NY",36001,305817,585,17.5595,81606,37.6612
"Lexington County, SC",45063,300653,430.2,15.8086,74168,28.3428
"St. Louis city, MO",29510,298643,4823.9,14.5639,48649,30.1742
"Cumberland County, ME",23005,295766,354.1,18.444,79158,42.7958
"Dutchess County, NY",36027,294812,370.5,17.4966,97060,33.8809
"Leon County, FL",12073,294412,441.5,12.3779,64894,41.3053
"Greene County, MO",29077,294249,435.7,18.0796,57764,28.025
"Clayton County, GA",13063,293733,2074.8,8.5196,60600,16.9473
"Ottawa County, MI",26139,292753,519.6,15.4485,76197,31.503
"Thurston County, WA",53067,292672,405.4,16.7809,84302,30.2149
"Gloucester County, NJ",34015,292421,908.1,16.1548,100467,30.7556
